#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 05 03 51 999 99.0 99.0  1.44  7.14  4.97  99 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 05 04 21 999 99.0 99.0  1.49  7.14  5.14  95 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 04 51 999 99.0 99.0  1.46  7.14  4.97  93 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 05 05 21 999 99.0 99.0  1.49  7.14  5.03  98 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 05 05 51 999 99.0 99.0  1.47  5.88  5.06  86 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 05 06 21 999 99.0 99.0  1.47  6.25  4.95  96 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 05 06 51 999 99.0 99.0  1.48  6.25  5.09  98 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 07 21 999 99.0 99.0  1.50  6.25  5.14  99 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 07 51 999 99.0 99.0  1.59  6.25  5.19 100 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 08 21 999 99.0 99.0  1.59  5.56  5.09  91 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 08 51 999 99.0 99.0  1.62  5.56  5.11 103 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 09 21 999 99.0 99.0  1.63  6.25  5.22  98 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 09 51 999 99.0 99.0  1.55  5.88  4.95  92 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 05 10 21 999 99.0 99.0  1.56  5.56  5.00  98 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 10 51 999 99.0 99.0  1.65  6.25  5.04 102 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 11 21 999 99.0 99.0  1.54  5.88  4.97  99 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 11 51 999 99.0 99.0  1.63  6.25  5.06 109 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 12 21 999 99.0 99.0  1.76  7.14  5.13  99 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 12 51 999 99.0 99.0  1.65  5.88  5.05 109 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 13 21 999 99.0 99.0  1.69  6.25  5.01 109 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 13 51 999 99.0 99.0  1.65  6.67  5.26 100 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 14 21 999 99.0 99.0  1.67  6.67  5.04 102 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 14 51 999 99.0 99.0  1.61  7.14  5.32 106 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 15 21 999 99.0 99.0  1.59  6.67  5.31  98 9999.0 999.0  28.5 999.0 99.0 99.00
2010 01 05 15 51 999 99.0 99.0  1.52  6.67  5.18 106 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 16 21 999 99.0 99.0  1.42  6.67  5.30 102 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 16 51 999 99.0 99.0  1.50  6.67  5.39 107 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 17 21 999 99.0 99.0  1.56  6.25  5.29 102 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 17 51 999 99.0 99.0  1.41  6.67  5.26 102 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 18 21 999 99.0 99.0  1.42  6.25  5.37 100 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 18 51 999 99.0 99.0  1.45  6.67  5.34 100 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 19 21 999 99.0 99.0  1.52  6.67  5.43 109 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 19 51 999 99.0 99.0  1.55  6.67  5.54 112 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 20 21 999 99.0 99.0  1.54  6.67  5.45 109 9999.0 999.0  28.4 999.0 99.0 99.00
2010 01 05 20 51 999 99.0 99.0  1.45  6.67  5.37 115 9999.0 999.0  28.4 999.0 99.0 99.00
